invoice_id,date,vendor,amount,description,category,approved_by
INV-1669-02,2024-10-09,Summit Financial Advisors,4776.08,Partial payment 2/4 — project milestone,FINANCE,L.Torres
INV-1024,2024-03-22,Lakeview Office Supplies Co,1791.44,Executive search — VP of Engineering placement,SUPPLIES,M.Chen
INV-1652,2024-09-18,Apex Technology Solution,10836.53,Monthly software license renewal,IT,A.Reeves
INV-1595,2024-07-10,Yellowstone Equipment Rental,11751.02,Corporate travel management — Q1 booking fees,OPERATIONS,J.Harrison
INV-1681,2024-10-19,Blue Ridge Analytics Group,10000.0,Print and marketing collateral production,CONSULTING,L.Torres
INV-1669-04,2024-10-06,Summit Financial Advisors,4804.62,Partial payment 4/4 — project milestone,FINANCE,S.Patel
INV-1378,2024-01-20,Blue Ridge Analytics Group,10110.04,Temporary staffing — operations peak period,CONSULTING,J.Harrison
INV-1504,2024-04-05,Quantum Cloud Infrastructure,44979.71,Monthly software license renewal,LEGAL,L.Torres
INV-1594,2024-09-09,Unity Healthcare Partners,5141.96,Legal due diligence — acquisition target review,CONSULTING,L.Torres
INV-1056,2024-06-25,Blue Ridge Analytics Group,15649.2,Legal due diligence — acquisition target review,LEGAL,A.Reeves
INV-1710,2024-08-02,Apex Technology Solutions,4995.0,Temporary staffing — operations peak period,IT,A.Reeves
INV-1695,2024-02-06,Blue Ridge Analytics Group,50000.0,Monthly software license renewal,CONSULTING,A.Reeves
INV-1705,2024-08-06,Summit Financial Advisors,9999.0,Digital marketing campaign Q2 execution,FINANCE,R.Novak
INV-1638,2024-10-13,Lakeview Office Supplies Co,1877.18,Customs brokerage and import clearance fees,SUPPLIES,R.Novak
INV-1176,2024-08-09,Lakeview Office Supplies Co,2351.42,Staff compliance certification training,SUPPLIES,M.Chen
INV-1032,2024-09-25,Cascade Digital Systems,14883.61,Legal due diligence — acquisition target review,IT,M.Chen
INV-1193,2024-01-18,Meridian Legal Partners LLP,37702.49,Financial audit preparation and documentation support,SECURITY,A.Reeves
INV-1511,2024-07-25,Silverstone IT Services,13112.18,Corporate travel management — Q1 booking fees,LEGAL,S.Patel
INV-1066,2024-05-05,Yellowstone Equipment Rental,6177.03,Brand identity redesign — new product line,OPERATIONS,S.Patel
INV-1672-01,2024-08-02,Harbor Light Consulting,9556.77,Partial payment 1/3 — project milestone,CONSULTING,S.Patel
INV-1354,2024-04-02,Vanguard Analytics Inc,11320.32,Employee benefits consulting — open enrollment,IT,D.Okafor
INV-1581,2024-04-04,Blue Ridge Analytics Group,12052.7,HR consulting — executive recruitment cycle,SUPPLIES,R.Novak
INV-1669-01,2024-10-08,Summit Financial Advisors,4878.93,Partial payment 1/4 — project milestone,FINANCE,R.Novak
INV-1034,2024-07-14,Sunrise Fleet Management,2136.48,Insurance premium — commercial liability policy,LOGISTICS,A.Reeves
INV-1217,2024-09-04,Crestview Supplies Ltd,1027.59,Legal filing fees and court documentation costs,CONSULTING,J.Harrison
INV-1069,2024-02-11,Oakwood Facilities Mgmt,2294.2,Legal filing fees and court documentation costs,FACILITIES,A.Reeves
INV-1650,2024-03-21,Apex Technology Solutions,25472.02,Staff compliance certification training,IT,A.Reeves
INV-1158,2024-08-08,Yellowstone Equipment Rental,1322.1,Payroll processing services — monthly retainer,OPERATIONS,A.Reeves
INV-1530,2024-03-22,Harbor Light Consulting,21977.08,Freight and logistics — bulk shipment handling,CONSULTING,J.Harrison
INV-1640,2024-03-10,Cascade Digital Systems,5537.21,Data analytics platform subscription renewal,IT,A.Reeves
INV-1022,2024-08-03,Delta Freight Services LLC,691.19,Advertising placement — industry trade publication,LOGISTICS,D.Okafor
INV-1101,2024-08-11,Sterling Law Group,8308.87,Translation and localization services — APAC,LEGAL,R.Novak
INV-1209,2024-11-17,Apex Technology Solutions,14226.31,Benefits administration platform — annual fee,IT,D.Okafor
INV-1517,2024-06-03,Pacific Rim Staffing,7236.5,Legal retainer — contract review and advisory,CONSULTING,L.Torres
INV-1673-02,2024-10-10,Ironwood Engineering Corp,49595.03,Partial payment 2/3 — project milestone,OPERATIONS,A.Reeves
INV-1602,2024-12-15,Pacific Rim Staffing,5735.86,Warehouse storage and fulfillment services Q4,CONSULTING,A.Reeves
INV-1295,2024-01-28,Silverstone IT Services,17235.45,Staff compliance certification training,IT,M.Chen
INV-1674,2024-05-18,Ridgeline Catering Co,42000,Database migration and cloud uplift services,FACILITIES,D.Okafor
INV-1243,2024-02-12,Eagle Eye Security Systems,6399.17,Executive coaching program — leadership team,SECURITY,M.Chen
INV-1280,2024-05-07,Vanguard Analytics Inc,9048.38,Corporate travel management — Q1 booking fees,IT,J.Harrison
INV-1025,2024-06-23,Quantum Cloud Infrastructure,1701.62,Cloud hosting — production environment monthly,IT,S.Patel
INV-1641,2024-11-17,Northpoint Marketing Agency,1691.19,Freight and logistics — bulk shipment handling,MARKETING,L.Torres
INV-1297,2024-01-14,Quantum Cloud Infrastructure,24968.33,Firewall replacement and network segmentation,IT,A.Reeves
INV-1605,2024-12-27,Blue Ridge Analytics Group,19638.74,Annual security audit and penetration testing,CONSULTING,L.Torres
INV-1328,2024-05-27,Apex Technology Solutions,14800.79,Customs brokerage and import clearance fees,IT,L.Torres
INV-1272,2024-07-13,Oakwood Facilities Mgmt,5908.01,Annual maintenance and support contract renewal,FACILITIES,M.Chen
INV-1323,2024-01-26,Pacific Rim Staffing,10584.7,Legal due diligence — acquisition target review,CONSULTING,R.Novak
INV-1440,2024-11-30,Apex Technology Solutions,15961.82,Firewall replacement and network segmentation,IT,A.Reeves
INV-1177,2024-12-06,Summit Financial Advisors,7398.67,Monthly software license renewal,FINANCE,J.Harrison
INV-1160,2024-06-19,Crestview Supplies Ltd,845.96,Corporate travel management — Q1 booking fees,SUPPLIES,S.Patel
INV-1701,2024-08-30,Westbrook Print & Media,2500.0,Cash advance — project expenses,MARKETING,A.Reeves
INV-1326,2024-02-21,Pinnacle Risk Advisors,3693.83,Insurance premium — commercial liability policy,FINANCE,S.Patel
INV-1488,2024-03-03,Meridian Legal Partners LLP,18066.47,Digital marketing campaign Q2 execution,LEGAL,S.Patel
INV-1115,2024-06-13,Pinnacle Risk Advisors,5318.42,Q1 consulting services — enterprise architecture,FACILITIES,J.Harrison
INV-1051,2024-01-30,Harbor Light Consulting,8615.52,Data analytics platform subscription renewal,CONSULTING,D.Okafor
INV-1533,2024-04-11,Apex Technology Solutions,6470.19,SharePoint migration — intranet modernization,IT,J.Harrison
INV-1722,2024-08-23,Unity Healthcare Partners,995.0,Tax planning and financial advisory services,CONSULTING,J.Harrison
INV-1399,2024-07-18,Pacific Rim Staffing,4119.56,Benefits administration platform — annual fee,CONSULTING,S.Patel
INV-1730,2024-10-28,General Business Solutions,17505.08,Miscellaneous expenses,SUPPLIES,S.Patel
INV-1293,2024-02-28,Unity Healthcare Partners,3877.86,Various services,CONSULTING,L.Torres
INV-1670-02,2024-03-11,Cascade Digital Systems,9863.99,Partial payment 2/2 — project milestone,IT,S.Patel
INV-1565,2024-10-04,Delta Freight Services LLC,1883.8,Cybersecurity monitoring — 24/7 SOC retainer,LOGISTICS,J.Harrison
INV-1666,2024-11-08,Meridian Legal Partners,7617.64,Cloud hosting — production environment monthly,LEGAL,A.Reeves
INV-1031,2024-05-22,Meridian Legal Partners LLP,11721.98,Firewall replacement and network segmentation,LEGAL,L.Torres
INV-1596,2024-03-14,Yellowstone Equipment Rental,5742.01,Advertising placement — industry trade publication,OPERATIONS,R.Novak
INV-1534,2024-10-27,Meridian Legal Partners LLP,9890.44,HR consulting — executive recruitment cycle,LEGAL,J.Harrison
INV-1183,2024-12-17,Sunrise Fleet Management,662.86,Environmental compliance consulting services,LOGISTICS,M.Chen
INV-1490,2024-12-02,Apex Technology Solutions,7170.69,Annual security audit and penetration testing,IT,J.Harrison
INV-1048,2024-04-11,Cascade Digital Systems,5260.12,Per prior agreement,IT,M.Chen
INV-1454,2024-01-26,Delta Freight Services LLC,2661.09,Advertising placement — industry trade publication,LOGISTICS,L.Torres
INV-1124,2024-04-04,Apex Technology Solutions,20197.26,Digital marketing campaign Q2 execution,IT,D.Okafor
INV-1662,2024-04-11,Summit Financial Advisory,9256.74,Equipment lease payment — fiscal Q3,FINANCE,M.Chen
INV-1718,2024-11-03,Delta Freight Services LLC,99980.0,Temporary staffing — operations peak period,LOGISTICS,M.Chen
INV-1514,2024-01-30,Delta Freight Services LLC,12000,Structural engineering assessment — building A,SUPPLIES,R.Novak
INV-1215,2024-06-16,Redrock Data Solutions,5874.84,Benefits administration platform — annual fee,IT,M.Chen
INV-1357,2024-10-07,Lakeview Office Supplies Co,925.24,Executive search — VP of Engineering placement,SUPPLIES,M.Chen
INV-1549,2024-04-21,Ridgeline Catering Co,402.54,Annual security audit and penetration testing,IT,L.Torres
INV-1557,2024-09-03,Eagle Eye Security Systems,2896.96,Legal due diligence — acquisition target review,SECURITY,R.Novak
INV-1109,2024-01-13,Ironwood Engineering Corp,5769.14,HR consulting — executive recruitment cycle,FACILITIES,A.Reeves
INV-1308,2024-02-22,Sterling Law Group,12351.68,Q1 consulting services — enterprise architecture,LEGAL,J.Harrison
INV-1180,2024-01-31,Sunrise Fleet Management,2672.35,Warehouse storage and fulfillment services Q4,LOGISTICS,D.Okafor
INV-1047,2024-09-15,Harbor Light Consulting,16441.39,Software development sprint 18 — backend API,FINANCE,R.Novak
INV-1277,2024-01-25,Apex Technology Solutions,4767.21,Brand identity redesign — new product line,IT,J.Harrison
INV-1018,2024-04-18,Meridian Legal Partners LLP,7404.4,Digital marketing campaign Q2 execution,SUPPLIES,L.Torres
INV-1086,2024-03-02,Blue Ridge Analytics Group,95000,Environmental compliance consulting services,CONSULTING,J.Harrison
INV-1162,2024-01-18,Unity Healthcare Partners,5945.08,IT helpdesk and L2 support services,CONSULTING,D.Okafor
INV-1152,2024-09-19,Crestview Supplies Ltd,978.84,Brand identity redesign — new product line,SUPPLIES,J.Harrison
INV-1282,2024-09-29,Meridian Legal Partners LLP,5551.42,Correction — prior period,LEGAL,D.Okafor
INV-1713,2024-05-29,Harbor Light Consulting,24990.0,Data analytics platform subscription renewal,CONSULTING,D.Okafor
INV-1340,2024-05-24,Frontier Logistics Partners,4970.24,Remote access VPN — enterprise license expansion,LOGISTICS,A.Reeves
INV-1503,2024-10-08,Apex Technology Solutions,41454.32,Insurance premium — commercial liability policy,IT,J.Harrison
INV-1593,2024-12-18,Sunrise Fleet Management,1816.65,Industry conference attendance — professional development,IT,S.Patel
INV-1711,2024-12-12,Lakeview Office Supplies Co,4990.0,Monthly software license renewal,SUPPLIES,L.Torres
INV-1607,2024-05-01,Crestview Supplies Ltd,664.97,Database migration and cloud uplift services,SUPPLIES,R.Novak
INV-1296,2024-11-01,Cascade Digital Systems,36211.38,Monthly software license renewal,IT,S.Patel
INV-1645,2024-03-14,Meridian Legal Partners LLP,12840.59,Catering services — quarterly board meeting,LEGAL,S.Patel
INV-1413,2024-11-13,Northpoint Marketing Agency,3832.26,Firewall replacement and network segmentation,MARKETING,R.Novak
INV-1098,2024-10-29,Oakwood Facilities Mgmt,1614.01,Executive coaching program — leadership team,FACILITIES,D.Okafor
INV-1334,2024-01-11,Silverstone IT Services,9720.87,HR consulting — executive recruitment cycle,IT,J.Harrison
INV-1675,2024-04-12,Lakeview Office Supplies Co,38500,Brand identity redesign — new product line,SUPPLIES,M.Chen
INV-1114,2024-02-25,Apex Technology Solutions,6588.78,Cybersecurity monitoring — 24/7 SOC retainer,IT,R.Novak
INV-1677,2024-04-23,Crestview Supplies Ltd,28750,Employee benefits consulting — open enrollment,SUPPLIES,S.Patel
INV-1010,2024-12-18,Blue Ridge Analytics Group,95000,Print and marketing collateral production,CONSULTING,J.Harrison
INV-1647,2024-10-10,Frontier Logistics Partners,1624.23,Equipment lease payment — fiscal Q3,LOGISTICS,M.Chen
INV-1704,2024-09-07,Lakeview Office Supplies Co,1000.0,Cash advance — project expenses,SUPPLIES,M.Chen
INV-1027,2024-02-19,Blue Ridge Analytics Group,27855.36,Annual maintenance and support contract renewal,OPERATIONS,J.Harrison
INV-1358,2024-08-01,Pacific Rim Staffing,7571.36,Cybersecurity monitoring — 24/7 SOC retainer,OPERATIONS,L.Torres
INV-1090,2024-12-06,Redrock Data Solutions,4979.31,Office supplies and stationery restock,IT,J.Harrison
INV-1643,2024-07-11,Ironwood Engineering Corp,6561.75,Q1 consulting services — enterprise architecture,OPERATIONS,M.Chen
INV-1029,2024-05-17,Meridian Legal Partners LLP,11171.33,Various services,LEGAL,R.Novak
INV-1165,2024-05-18,Meridian Legal Partners LLP,10500.66,Brand identity redesign — new product line,LEGAL,A.Reeves
INV-1550,2024-07-06,Meridian Legal Partners LLP,6600.9,Office supplies and stationery restock,LEGAL,A.Reeves
INV-1683,2024-08-03,Unity Healthcare Partners,10000.0,Misc,CONSULTING,J.Harrison
INV-1103,2024-01-09,Meridian Legal Partners LLP,6104.52,Security camera installation — warehouse expansion,LEGAL,D.Okafor
INV-1707,2024-01-15,Meridian Legal Partners LLP,9985.0,IT helpdesk and L2 support services,LEGAL,S.Patel
INV-1434,2024-12-10,Pacific Rim Staffing,5252.78,Insurance premium — commercial liability policy,CONSULTING,R.Novak
INV-1129,2024-02-11,Quantum Cloud Infrastructure,25555.82,Tax planning and financial advisory services,IT,L.Torres
INV-1624,2024-05-07,Apex Technology Solutions,16821.33,Staff compliance certification training,IT,R.Novak
INV-1604,2024-01-03,Harbor Light Consulting,28843.3,Tax planning and financial advisory services,CONSULTING,J.Harrison
INV-1008,2024-07-08,Unity Healthcare Partners,9722.54,Market research and competitive landscape analysis,CONSULTING,R.Novak
INV-1658,2024-10-07,Frontierr Logistics Partners,7118.26,Tax planning and financial advisory services,LOGISTICS,A.Reeves
INV-1041,2024-03-12,Harbor Light Consulting,6805.19,Staff compliance certification training,CONSULTING,A.Reeves
INV-1307,2024-06-05,Meridian Legal Partners LLP,45000,Software development sprint 18 — backend API,LEGAL,J.Harrison
INV-1151,2024-09-12,Redrock Data Solutions,8586.39,Payroll processing services — monthly retainer,OPERATIONS,D.Okafor
INV-1591,2024-08-06,Cascade Digital Systems,9127.87,Financial audit preparation and documentation support,IT,S.Patel
INV-1407,2024-05-19,Meridian Legal Partners LLP,4581.87,Staff compliance certification training,LEGAL,J.Harrison
INV-1023,2024-06-20,Avalon Research Associates,8604.65,Financial audit preparation and documentation support,FACILITIES,J.Harrison
INV-1395,2024-04-03,Summit Financial Advisors,10394.94,Equipment lease payment — fiscal Q3,FINANCE,M.Chen
INV-1169,2024-01-10,Unity Healthcare Partners,7455.34,Tax planning and financial advisory services,CONSULTING,D.Okafor
INV-1744,2024-05-21,Summit Financial Advisors,89192.04,Temporary staffing — operations peak period,FINANCE,M.Chen
INV-1600,2024-09-09,Horizon Training Solutions,1520.32,SharePoint migration — intranet modernization,CONSULTING,A.Reeves
INV-1336,2024-03-12,Westbrook Print & Media,1806.52,Environmental compliance consulting services,MARKETING,L.Torres
INV-1113,2024-12-20,Meridian Legal Partners LLP,8369.39,Temporary staffing — operations peak period,LEGAL,R.Novak
INV-1474,2024-01-25,Blue Ridge Analytics Group,15730.41,Network infrastructure upgrade phase 2,LEGAL,A.Reeves
INV-1149,2024-03-14,Northpoint Marketing Agency,5090.58,Remote access VPN — enterprise license expansion,MARKETING,D.Okafor
INV-1410,2024-01-20,Meridian Legal Partners LLP,15695.83,Market research and competitive landscape analysis,LEGAL,S.Patel
INV-1355,2024-02-02,Summit Financial Advisors,8813.12,Data analytics platform subscription renewal,SUPPLIES,J.Harrison
INV-1717,2024-06-05,Unity Healthcare Partners,99990.0,Legal retainer — contract review and advisory,CONSULTING,S.Patel
INV-1466,2024-04-20,Apex Technology Solutions,80000,Data analytics platform subscription renewal,IT,M.Chen
INV-1562,2024-10-23,Apex Technology Solutions,16609.5,Network infrastructure upgrade phase 2,IT,L.Torres
INV-1261,2024-02-18,Cascade Digital Systems,3769.57,Network infrastructure upgrade phase 2,IT,J.Harrison
INV-1589,2024-12-11,Quantum Cloud Infrastructure,5109.6,Firewall replacement and network segmentation,IT,R.Novak
INV-1256,2024-03-15,Blue Ridge Analytics Group,9660.38,Equipment lease payment — fiscal Q3,CONSULTING,R.Novak
INV-1522,2024-03-09,Harbor Light Consulting,9325.87,Tax planning and financial advisory services,CONSULTING,R.Novak
INV-1166,2024-05-23,Cascade Digital Systems,7315.63,Database migration and cloud uplift services,IT,D.Okafor
INV-1284,2024-09-22,Summit Financial Advisors,8387.59,Third-party pen test — web application scope,FINANCE,A.Reeves
INV-1127,2024-03-12,Harbor Light Consulting,15241.53,Remote access VPN — enterprise license expansion,CONSULTING,L.Torres
INV-1365,2024-07-15,Meridian Legal Partners LLP,45000,Facilities management — HVAC preventive maintenance,LEGAL,D.Okafor
INV-1518,2024-09-18,Summit Financial Advisors,8151.13,Corporate travel management — Q1 booking fees,FINANCE,A.Reeves
INV-1492,2024-08-22,Unity Healthcare Partners,5758.76,Executive coaching program — leadership team,CONSULTING,L.Torres
INV-1102,2024-04-07,Cascade Digital Systems,5648.85,Financial audit preparation and documentation support,IT,L.Torres
INV-1423,2024-04-25,Blue Ridge Analytics Group,22981.15,Industry conference attendance — professional development,IT,A.Reeves
INV-1088,2024-05-24,Northpoint Marketing Agency,4874.71,ERP system customization — procurement module,FACILITIES,J.Harrison
INV-1275,2024-03-13,Pacific Rim Staffing,2140.65,Annual security audit and penetration testing,CONSULTING,D.Okafor
INV-1254,2024-10-02,Yellowstone Equipment Rental,3145.8,Copier and printer lease — main office,OPERATIONS,S.Patel
INV-1483,2024-07-09,Apex Technology Solutions,23644.22,Industry conference attendance — professional development,IT,S.Patel
INV-1598,2024-04-16,Blue Ridge Analytics Group,13475.5,Annual security audit and penetration testing,OPERATIONS,M.Chen
INV-1350,2024-07-09,Westbrook Print & Media,1831.33,Financial audit preparation and documentation support,MARKETING,M.Chen
INV-1139,2024-02-23,Meridian Legal Partners LLP,36108.67,Security camera installation — warehouse expansion,LEGAL,J.Harrison
INV-1208,2024-07-21,Summit Financial Advisors,35324.97,Inventory management system — annual license,MARKETING,M.Chen
INV-1463,2024-02-29,Meridian Legal Partners LLP,6019.08,Database migration and cloud uplift services,LEGAL,S.Patel
INV-1372,2024-09-05,Apex Technology Solutions,11676.35,Remote access VPN — enterprise license expansion,IT,A.Reeves
INV-1507,2024-02-24,Pinnacle Risk Advisors,26794.29,Personal expense reimbursement,FINANCE,D.Okafor
INV-1464,2024-05-17,Horizon Training Solutions,4472.16,Digital marketing campaign Q2 execution,CONSULTING,R.Novak
INV-1460,2024-12-24,Redrock Data Solutions,7430.3,Legal filing fees and court documentation costs,IT,J.Harrison
INV-1553,2024-03-28,Delta Freight Services LLC,2954.52,Market research and competitive landscape analysis,FINANCE,A.Reeves
INV-1381,2024-05-08,Meridian Legal Partners LLP,4363.68,Brand identity redesign — new product line,LEGAL,R.Novak
INV-1119,2024-02-13,Frontier Logistics Partners,4821.14,Remote access VPN — enterprise license expansion,LOGISTICS,J.Harrison
INV-1181,2024-05-26,Vanguard Analytics Inc,5327.78,Advertising placement — industry trade publication,IT,J.Harrison
INV-1753,2024-03-28,Summit Financial Advisors,94760.42,Print and marketing collateral production,FINANCE,M.Chen
INV-1005,2024-10-18,Cascade Digital Systems,4664.69,Print and marketing collateral production,IT,M.Chen
INV-1500,2024-08-13,Redrock Data Solutions,22151.55,Advertising placement — industry trade publication,IT,M.Chen
INV-1190,2024-03-18,Frontier Logistics Partners,897.81,Annual maintenance and support contract renewal,LEGAL,A.Reeves
INV-1438,2024-08-27,Quantum Cloud Infrastructure,39407.4,HR consulting — executive recruitment cycle,IT,A.Reeves
INV-1656,2024-09-07,Frontierr Logistics Partners,3197.51,Catering services — quarterly board meeting,LOGISTICS,A.Reeves
INV-1321,2024-08-30,Elmwood Graphics Studio,1401.8,Copier and printer lease — main office,MARKETING,J.Harrison
INV-1740,2024-03-24,Summit Financial Advisors,77076.83,IT helpdesk and L2 support services,FINANCE,J.Harrison
INV-1292,2024-04-15,Titan Security Services,6472.26,Annual security audit and penetration testing,SECURITY,S.Patel
INV-1481,2024-09-04,Cascade Digital Systems,21187.5,HR consulting — executive recruitment cycle,FACILITIES,J.Harrison
INV-1470,2024-10-02,Blue Ridge Analytics Group,64395.56,Database migration and cloud uplift services,OPERATIONS,D.Okafor
INV-1159,2024-12-12,Quantum Cloud Infrastructure,6294.94,Misc,IT,A.Reeves
INV-1333,2024-07-31,Sterling Law Group,4192.07,Office supplies and stationery restock,FACILITIES,M.Chen
INV-1616,2024-02-04,Summit Financial Advisors,7666.76,Industry conference attendance — professional development,MARKETING,D.Okafor
INV-1178,2024-08-03,Delta Freight Services LLC,1030.25,ERP system customization — procurement module,LOGISTICS,M.Chen
INV-1645,2024-03-14,Meridian Legal Partners LLP,12840.59,Catering services — quarterly board meeting,LEGAL,S.Patel
INV-1394,2024-02-25,Unity Healthcare Partners,5179.01,Cloud hosting — production environment monthly,CONSULTING,M.Chen
INV-1671-03,2024-08-18,Apex Technology Solutions,24754.55,Partial payment 3/3 — project milestone,IT,L.Torres
INV-1356,2024-09-17,Apex Technology Solutions,22228.25,Cybersecurity monitoring — 24/7 SOC retainer,IT,M.Chen
INV-1515,2024-10-07,Cascade Digital Systems,5051.45,Industry conference attendance — professional development,IT,L.Torres
INV-1121,2024-05-23,Eagle Eye Security Systems,2227.36,Database migration and cloud uplift services,SECURITY,A.Reeves
INV-1547,2024-02-14,Summit Financial Advisors,10338.31,Cloud hosting — production environment monthly,FINANCE,M.Chen
INV-1276,2024-07-01,Delta Freight Services LLC,563.55,Industry conference attendance — professional development,LOGISTICS,A.Reeves
INV-1576,2024-07-13,Summit Financial Advisors,7600.83,Data analytics platform subscription renewal,FINANCE,S.Patel
INV-1622,2024-06-21,Cascade Digital Systems,8994.2,Monthly software license renewal,IT,S.Patel
INV-1265,2024-09-27,Westbrook Print & Media,3093.31,Personal expense reimbursement,MARKETING,D.Okafor
INV-1259,2024-10-27,Lakeview Office Supplies Co,758.97,IT helpdesk and L2 support services,SUPPLIES,L.Torres
INV-1739,2024-09-17,Summit Financial Advisors,70229.13,Data analytics platform subscription renewal,FINANCE,M.Chen
INV-1093,2024-12-11,Westbrook Print & Media,4100.7,Tax planning and financial advisory services,MARKETING,R.Novak
INV-1623,2024-12-15,Apex Technology Solutions,5084.59,Temporary staffing — operations peak period,IT,D.Okafor
INV-1625,2024-07-06,Apex Technology Solutions,12554.3,Translation and localization services — APAC,FINANCE,J.Harrison
INV-1302,2024-06-22,Apex Technology Solutions,80000,Inventory management system — annual license,SECURITY,D.Okafor
INV-1637,2024-11-03,Unity Healthcare Partners,5568.96,IT helpdesk and L2 support services,CONSULTING,R.Novak
INV-1347,2024-01-27,Quantum Cloud Infrastructure,9816.3,Temporary staffing — operations peak period,IT,D.Okafor
INV-1629,2024-05-15,Oakwood Facilities Mgmt,2584.21,Database migration and cloud uplift services,FACILITIES,L.Torres
INV-1641,2024-11-17,Northpoint Marketing Agency,1691.19,Freight and logistics — bulk shipment handling,MARKETING,L.Torres
INV-1185,2024-12-16,Cascade Digital Systems,25823.94,Office supplies and stationery restock,IT,L.Torres
INV-1345,2024-03-03,Delta Freight Services LLC,555.65,Employee benefits consulting — open enrollment,LOGISTICS,M.Chen
INV-1219,2024-12-21,Meridian Legal Partners LLP,8026.55,Customs brokerage and import clearance fees,LEGAL,L.Torres
INV-1447,2024-02-24,Cascade Digital Systems,5707.29,Network infrastructure upgrade phase 2,IT,R.Novak
INV-1163,2024-04-16,Oakwood Facilities Mgmt,3813.76,Network infrastructure upgrade phase 2,SECURITY,D.Okafor
INV-1673-03,2024-10-09,Ironwood Engineering Corp,49329.55,Partial payment 3/3 — project milestone,OPERATIONS,J.Harrison
INV-1240,2024-07-08,Eagle Eye Security Systems,1080.21,Emergency procurement,SECURITY,A.Reeves
INV-1143,2024-01-26,Meridian Legal Partners LLP,5379.15,Inventory management system — annual license,LEGAL,J.Harrison
INV-1510,2024-10-15,Meridian Legal Partners LLP,12982.8,Brand identity redesign — new product line,LEGAL,S.Patel
INV-1223,2024-01-15,Oakwood Facilities Mgmt,3451.82,Cloud hosting — production environment monthly,FACILITIES,M.Chen
INV-1009,2024-08-27,Quantum Cloud Infrastructure,11205.46,Payroll processing services — monthly retainer,IT,A.Reeves
INV-1249,2024-02-14,Pinnacle Risk Advisors,3910.34,Firewall replacement and network segmentation,FINANCE,A.Reeves
INV-1228,2024-05-11,Ironwood Engineering Corp,6257.35,Catering services — quarterly board meeting,OPERATIONS,L.Torres
INV-1627,2024-11-27,Meridian Legal Partners LLP,13106.47,Corporate travel management — Q1 booking fees,LEGAL,S.Patel
INV-1227,2024-11-15,Lakeview Office Supplies Co,908.78,Misc,SUPPLIES,S.Patel
INV-1017,2024-02-26,Eagle Eye Security Systems,8634.66,Executive coaching program — leadership team,SECURITY,L.Torres
INV-1184,2024-01-28,Quantum Cloud Infrastructure,6576.36,Firewall replacement and network segmentation,IT,M.Chen
INV-1203,2024-09-29,Delta Freight Services LLC,1811.87,Executive search — VP of Engineering placement,LOGISTICS,L.Torres
INV-1617,2024-11-04,Northpoint Marketing Agency,17659.38,Database migration and cloud uplift services,MARKETING,A.Reeves
INV-1349,2024-05-02,Delta Freight Services LLC,866.21,Personal expense reimbursement,LOGISTICS,M.Chen
INV-1444,2024-11-19,Apex Technology Solutions,12421.78,Insurance premium — commercial liability policy,IT,S.Patel
INV-1028,2024-10-18,Unity Healthcare Partners,11745.52,Annual security audit and penetration testing,CONSULTING,M.Chen
INV-1670-01,2024-03-12,Cascade Digital Systems,9842.11,Partial payment 1/2 — project milestone,IT,A.Reeves
INV-1204,2024-11-12,Blue Ridge Analytics Group,22368.96,Copier and printer lease — main office,CONSULTING,A.Reeves
INV-1749,2024-07-03,Summit Financial Advisors,85065.91,Legal filing fees and court documentation costs,FINANCE,J.Harrison
INV-1648,2024-02-14,Meridian Legal Partners LLP,11072.47,Freight and logistics — bulk shipment handling,LEGAL,M.Chen
INV-1065,2024-01-20,Eagle Eye Security Systems,4680.46,Temporary staffing — operations peak period,SECURITY,D.Okafor
INV-1519,2024-02-17,Cascade Digital Systems,11977.75,Facilities management — HVAC preventive maintenance,IT,M.Chen
INV-1104,2024-07-14,Silverstone IT Services,21092.31,Benefits administration platform — annual fee,IT,L.Torres
INV-1520,2024-09-08,Cascade Digital Systems,12706.65,Q1 consulting services — enterprise architecture,LOGISTICS,J.Harrison
INV-1091,2024-05-07,Silverstone IT Services,17094.09,Payroll processing services — monthly retainer,OPERATIONS,R.Novak
INV-1572,2024-01-10,Meridian Legal Partners LLP,7352.18,Financial audit preparation and documentation support,LOGISTICS,M.Chen
INV-1561,2024-11-19,Titan Security Services,17582.54,SharePoint migration — intranet modernization,SECURITY,D.Okafor
INV-1747,2024-08-22,Summit Financial Advisors,86693.82,Data analytics platform subscription renewal,FINANCE,M.Chen
INV-1448,2024-01-02,Apex Technology Solutions,16711.03,Remote access VPN — enterprise license expansion,IT,S.Patel
INV-1374,2024-06-21,Unity Healthcare Partners,18757.2,Monthly software license renewal,CONSULTING,L.Torres
INV-1175,2024-12-19,Harbor Light Consulting,11831.71,Benefits administration platform — annual fee,SUPPLIES,J.Harrison
INV-1359,2024-06-19,Cascade Digital Systems,13195.02,Network infrastructure upgrade phase 2,IT,A.Reeves
INV-1134,2024-08-08,Cascade Digital Systems,19135.86,Corporate travel management — Q1 booking fees,IT,M.Chen
INV-1049,2024-02-12,Northpoint Marketing Agency,7998.88,HR consulting — executive recruitment cycle,MARKETING,D.Okafor
INV-1062,2024-02-01,Harbor Light Consulting,8514.42,Monthly software license renewal,CONSULTING,J.Harrison
INV-1344,2024-07-08,Meridian Legal Partners LLP,9234.81,Cloud hosting — production environment monthly,LEGAL,M.Chen
